# x, y, dx, dy, 1st best, 2nd best
296,22,0,0,6,65
816,22,-2,0,16,86
816,22,2,2,6,74
258,26,0,0,7,113
644,22,2,4,14,40
722,30,-2,-2,8,50
932,30,0,0,12,88
702,28,-2,4,14,146
796,32,14,2,20,43
926,34,0,0,4,100
936,38,0,0,8,70
292,40,0,0,3,62
796,32,2,8,18,33
496,42,0,0,2,18
722,42,0,2,5,26
496,42,-2,6,14,20
588,50,-2,0,10,22
982,52,0,-2,15,37
686,66,4,-12,21,36
932,54,0,0,9,49
214,56,0,0,3,76
260,56,0,0,7,33
268,56,0,0,4,40
224,58,0,0,8,77
238,58,0,0,2,89
820,82,12,-24,16,20
840,58,-2,0,8,30
480,60,0,0,7,36
540,66,4,-6,16,45
630,58,-2,2,7,11
994,58,0,2,9,31
1032,64,4,-4,21,62
652,64,0,0,0,32
660,62,0,2,5,17
686,66,0,0,10,53
492,68,0,0,6,25
204,72,0,0,5,61
912,72,0,0,8,50
954,66,-6,8,22,102
916,76,0,0,4,56
714,80,0,-2,11,23
820,82,0,0,3,9
244,86,0,0,3,85
266,88,0,0,2,47
308,86,4,2,12,15
492,68,-10,22,12,15
262,92,0,0,3,70
302,98,10,-6,11,16
472,90,0,2,6,9
180,96,0,0,2,34
1076,92,4,4,11,30
242,100,0,0,4,28
246,100,0,0,7,37
714,80,0,20,17,33
178,102,0,0,3,26
300,102,0,0,1,12
332,102,4,0,9,18
470,102,0,0,1,9
258,104,0,0,2,45
906,104,0,0,4,32
300,102,0,6,16,23
468,108,0,0,1,9
848,106,6,4,23,43
448,114,0,2,8,38
708,128,-16,-12,15,25
1092,116,0,0,8,40
1088,120,0,0,11,61
358,132,6,-10,13,22
202,124,0,0,8,59
1092,126,0,0,8,36
160,128,0,0,4,33
894,128,0,0,7,37
898,130,0,-2,10,18
402,116,-30,14,19,28
708,128,-14,4,10,15
904,132,0,0,9,25
1094,132,0,0,1,40
448,134,0,0,4,33
1092,136,0,0,4,35
216,138,0,0,8,81
860,150,2,-12,16,74
450,164,10,-24,15,61
126,144,0,0,6,62
324,148,2,-4,9,36
406,130,-4,14,19,34
880,152,4,-8,23,54
1088,144,0,0,4,54
162,146,0,0,4,53
452,144,-2,2,7,28
1084,148,0,0,4,52
238,150,0,0,1,18
652,178,8,-24,15,21
230,160,-2,0,7,24
908,164,0,-4,22,94
450,164,2,-2,23,83
450,164,0,2,18,78
886,164,-2,2,18,126
872,164,-4,6,14,61
296,170,-4,2,17,157
136,176,-2,-2,18,51
136,176,0,2,20,39
906,210,16,-32,23,126
1096,180,0,0,18,63
184,182,0,0,11,101
218,184,0,-2,5,12
416,184,0,0,2,18
214,188,0,-2,10,14
424,186,0,0,5,43
1094,188,0,-2,16,61
182,188,0,0,6,99
412,188,0,0,4,22
1086,188,0,0,5,77
1088,192,0,0,12,53
126,194,0,0,6,98
212,194,-2,2,7,15
148,198,0,0,2,46
418,198,0,0,5,48
1078,200,0,0,8,82
422,202,0,0,4,93
472,212,-6,-6,11,33
984,216,0,-4,17,96
408,216,0,0,2,42
972,218,-2,-2,7,38
142,216,0,2,22,41
188,222,0,0,1,12
892,226,-8,-4,12,15
892,226,-4,-4,8,11
1080,222,0,0,0,34
892,226,-6,0,21,32
968,226,0,0,3,23
148,228,0,2,13,21
182,232,0,0,0,7
910,234,-4,0,12,25
152,236,0,0,2,22
456,242,6,-6,10,20
900,268,-4,-32,17,23
960,264,-30,-28,8,23
614,242,2,0,9,22
1084,242,0,0,4,34
590,266,-26,-20,17,35
612,248,-4,-2,5,8
612,248,2,0,7,14
418,252,0,-2,2,3
456,242,-6,8,3,23
656,250,4,0,8,108
428,252,0,0,1,4
382,256,2,-2,10,16
392,254,0,0,0,6
494,256,-10,-2,14,31
494,256,-4,-2,10,31
600,240,6,14,19,25
218,270,28,-14,15,53
286,254,-2,2,15,48
1086,256,0,0,4,51
296,266,20,-8,6,10
388,262,2,-2,1,3
396,258,-2,2,1,3
500,260,0,0,11,26
1052,258,0,2,22,35
296,266,30,-4,9,25
376,260,-2,2,4,14
1092,264,0,-2,8,30
278,266,0,-2,16,22
296,266,24,-2,7,9
212,264,-2,2,15,42
144,268,0,0,4,83
900,268,-4,2,19,34
1084,270,0,0,7,58
126,272,0,0,8,76
218,270,0,2,11,26
278,266,-2,6,11,20
352,270,-2,2,9,20
604,270,0,2,2,20
616,272,0,0,2,12
1090,272,0,0,5,27
120,274,0,0,12,70
140,276,0,0,8,85
228,278,0,-2,5,10
620,276,0,0,0,14
550,282,-4,-2,21,85
1088,280,0,0,4,55
1016,292,0,-4,10,15
1084,290,0,0,1,38
472,324,-30,-32,10,14
668,284,4,8,13,24
634,290,-4,4,19,27
634,290,2,6,18,26
620,276,24,20,16,21
682,290,0,6,11,30
956,298,4,-2,14,22
1082,296,-2,0,10,37
246,294,-18,4,20,29
1040,298,0,0,6,44
458,294,20,6,19,26
956,298,8,2,16,24
1022,300,-6,0,22,46
1022,300,2,0,14,40
1036,306,0,0,2,40
814,314,0,0,4,8
692,316,0,0,1,39
412,308,-24,10,3,7
412,308,4,12,7,9
960,324,0,-2,18,29
410,320,-12,8,8,11
1050,328,0,0,2,19
594,334,2,-4,11,35
1082,330,0,0,3,40
802,332,0,2,21,28
1088,334,0,0,4,42
568,320,8,18,19,24
606,344,2,-4,6,17
442,336,6,6,6,17
758,346,2,0,7,25
278,374,-14,-26,5,10
666,362,-8,-12,19,31
26,358,-2,-6,8,59
228,370,20,-18,10,14
1020,352,0,0,9,61
232,358,-4,-2,10,17
232,358,0,-2,5,17
1092,358,0,0,2,76
26,358,2,4,9,62
220,362,4,0,4,6
54,364,4,0,5,12
590,366,-2,-2,13,22
1030,364,0,0,3,44
616,368,-6,0,17,24
846,374,-12,-6,16,28
1034,372,0,0,7,46
28,370,2,4,21,44
314,398,-2,-22,21,29
492,400,8,-24,21,93
628,354,24,24,21,37
204,354,-18,26,6,8
790,374,4,6,12,28
848,378,2,2,15,27
1022,380,0,0,2,90
162,378,-6,6,7,13
314,398,24,-14,10,16
792,386,2,-2,14,20
628,354,26,32,23,29
1032,388,0,-2,17,88
154,420,-2,-32,7,14
594,398,-2,-10,17,27
872,414,-10,-24,12,56
62,394,-2,2,1,13
186,394,16,6,7,9
62,394,-6,8,7,15
776,428,-18,-26,10,39
794,408,-6,-6,7,31
834,420,-20,-18,9,34
288,388,-12,16,14,19
1016,404,0,0,1,71
1022,404,0,0,6,72
794,408,-2,-2,5,33
834,420,-16,-14,10,33
1030,408,0,2,15,98
186,394,-26,20,6,9
118,402,-4,14,11,21
188,430,-6,-14,6,11
426,412,-4,4,19,26
834,420,-2,0,10,31
872,414,6,6,18,53
52,424,-2,-2,14,24
834,420,4,4,6,39
664,428,0,0,9,27
834,420,8,8,17,46
154,420,-22,10,15,19
118,402,-4,32,17,22
154,420,-10,14,17,22
1034,436,0,0,4,50
106,442,-6,0,5,26
188,442,-8,2,10,15
648,428,-20,18,15,21
718,444,-24,2,17,54
362,468,32,-20,13,21
28,462,2,-8,19,91
362,468,-16,-14,15,25
146,458,-2,0,10,65
146,458,16,4,23,61
758,462,0,0,8,20
902,462,0,0,14,92
320,474,-12,-10,12,255
996,460,-2,4,9,12
884,466,-2,0,3,6
82,456,26,12,11,14
884,472,12,-2,17,22
98,478,-10,-4,10,21
98,478,6,-4,14,22
132,474,14,0,16,65
990,472,0,2,3,10
98,478,-2,-2,6,23
320,474,-18,2,11,255
992,476,0,2,8,17
1004,480,0,0,22,96
538,490,-6,-8,13,18
778,502,-20,-18,19,45
966,488,0,0,4,40
812,494,32,0,11,17
922,494,12,6,22,59
82,490,6,14,12,32
246,508,4,-4,14,51
870,510,-4,-6,12,29
